SpectraSuite Data File			
++++++++++++++++++++++++++++++++++++			
Date: Wed Mar 11 14:48:38 CET 2026			
User: User			
Dark Spectrum Present: No			
Reference Spectrum Present: No			
Number of Sampled Component Spectra: 1			
Spectrometers: USB2G10323			
Integration Time (usec): 20000 (USB2G10323)			
Spectra Averaged: 1 (USB2G10323)			
Boxcar Smoothing: 0 (USB2G10323)			
Correct for Electrical Dark: No (USB2G10323)			
Strobe/Lamp Enabled: No (USB2G10323)			
Correct for Detector Non-linearity: No (USB2G10323)			
Correct for Stray Light: No (USB2G10323)			
Number of Pixels in Processed Spectrum: 2048			
>>>>>Begin Processed Spectral Data<<<<<			
541,83	2361	1539	769,5
542,19	2360	1609	804,5
542,55	2392	1640	820
542,9	2380	1689	844,5
543,26	2387	1750	875
543,62	2401	1815	907,5
543,97	2437	1852	926
544,33	2383	1909	954,5
544,69	2425	1975	987,5
545,04	2432	2022	1011
545,4	2419	2065	1032,5
545,76	2420	2093	1046,5
546,11	2372	2137	1068,5
546,47	2360	2149	1074,5
546,83	2395	2176	1088
547,18	2364	2247	1123,5
547,54	2398	2265	1132,5
547,89	2398	2338	1169
548,25	2414	2353	1176,5
548,61	2455	2423	1211,5
548,96	2434	2469	1234,5
549,32	2454	2458	1229
549,68	2445	2487	1243,5
550,03	2431	2508	1254
550,39	2436	2531	1265,5
550,74	2430	2558	1279
551,1	2411	2572	1286
551,45	2406	2565	1282,5
551,81	2436	2561	1280,5
552,17	2440	2633	1316,5
552,52	2471	2619	1309,5
552,88	2478	2647	1323,5
553,23	2497	2699	1349,5
553,59	2486	2655	1327,5
553,94	2507	2686	1343
554,3	2461	2646	1323
554,66	2448	2642	1321
555,01	2431	2665	1332,5
555,37	2400	2611	1305,5
555,72	2406	2616	1308
556,08	2395	2641	1320,5
556,43	2370	2622	1311
556,79	2381	2665	1332,5
557,14	2405	2631	1315,5
557,5	2423	2658	1329
557,85	2437	2644	1322
558,21	2426	2669	1334,5
558,56	2468	2685	1342,5
558,92	2519	2685	1342,5
559,27	2540	2690	1345
559,63	2548	2689	1344,5
559,98	2480	2653	1326,5
560,34	2496	2656	1328
560,69	2460	2682	1341
561,05	2451	2664	1332
561,4	2432	2665	1332,5
561,76	2441	2678	1339
562,11	2389	2638	1319
562,46	2396	2641	1320,5
562,82	2384	2670	1335
563,17	2402	2654	1327
563,53	2392	2684	1342
563,88	2444	2674	1337
564,24	2419	2697	1348,5
564,59	2440	2687	1343,5
564,95	2434	2729	1364,5
565,3	2480	2731	1365,5
565,65	2509	2747	1373,5
566,01	2478	2746	1373
566,36	2490	2753	1376,5
566,72	2544	2779	1389,5
